id,err,cp
403,8.5,0
404,5.792,0
405,3.583,0
406,6.792,0
407,11.833,0
408,13.667,0
409,10.417,0
410,7,0
411,5.625,0
412,6.042,0
413,4.75,0
414,1.167,0
415,4.167,0
416,5,0
417,11.375,0
418,11.417,0
419,5.708,0
420,5.417,0
421,0.958,0
422,4.5,0
423,1.875,0
424,1.208,0
425,0.542,0
426,1.958,0
427,1.5,0
428,0.125,0
429,0.583,0
430,0.25,0
431,1.417,0
432,0.208,0
433,0.292,0
434,9.583,0
435,0.02,0
436,2,0
437,2.625,0
438,1.542,0
439,3.5,0
440,6.708,0
441,4.958,0
442,3.208,0
443,2.375,0
444,2.208,0
445,2.292,0
446,2.25,0
447,0.167,0
448,0.292,0
449,0,0
450,1.167,0
451,0.25,0
452,0.75,0
453,0.167,0
454,0.875,0
455,0.083,0
456,1.583,0
457,0.833,0
458,0.625,0
459,0.875,0
460,0.958,0
461,1.125,0
462,1.083,0
463,0.417,0
464,0.667,0
465,0.042,0
466,0.667,0
467,1.458,0
468,1.208,0
469,1.333,0
470,1.667,0
471,1.25,0
472,0.417,0
473,0.667,0
474,1.375,0
475,0.458,0
476,1.625,0
477,2.667,0
478,0.542,0
479,0.083,0
480,3.583,0
481,4.083,0
482,4.375,0
483,5.75,0
484,5.167,0
485,2.75,0
486,1.875,0
487,0.625,0
488,1.333,0
489,3.875,0
490,2.042,0
491,2,0
492,2.583,0
493,5.792,0
494,3,0
495,2.25,0
496,1.208,0
497,1.5,0
498,4.75,0
499,4.917,0
500,3.5,0
501,1.167,0
502,0.167,0
503,2.5,0
504,4.833,0
505,5.25,0
506,4.458,0
507,3.458,0
508,1.833,0
509,2.458,0
510,1.042,0
511,1.083,0
512,1.958,0
513,1.417,0
514,1,0
515,2.667,0
516,1.875,0
517,2.25,0
518,1.417,0
519,1.042,0
520,4.958,0
521,8.417,0
522,3.333,0
523,2.208,0
524,0.333,0
525,1.167,0
526,2.542,0
527,2.958,0
528,1.25,0
529,1.875,0
530,1,0
531,2.708,0
532,2.625,0
533,2.125,0
534,0.625,0
535,1.667,0
536,0.917,0
537,0.083,0
538,0.125,0
539,0,0
540,0.333,0
541,0.25,0
542,1.333,0
543,0.375,0
544,0.958,0
545,0.208,0
546,0.083,0
547,0.042,0
548,0.25,0
549,0.167,0
550,0.375,0
551,0,0
552,1.708,0
553,0.167,0
554,0.375,0
555,1.146,0
556,0.458,0
557,1.125,0
558,0.083,0
559,1.458,0
560,0.458,0
561,0.458,0
562,0.667,0
563,0.042,0
564,0.583,0
565,0.4,0
566,0.333,0
567,0.833,0
568,1.833,0
569,0.042,0
570,0.958,0
571,1.583,0
572,0.792,0
573,3.208,0
574,2,0
575,0.333,0
576,0.792,0
577,0.208,0
578,0.958,0
579,0.125,0
580,0.667,0
581,1.083,0
582,3.167,0
583,3.25,0
584,1,0
585,0.292,0
586,0.042,0
587,0.417,0
588,0.458,0
589,0.958,0
590,0.125,0
591,1.125,0
592,1.458,0
593,0.25,0
594,0.167,0
595,0.917,0
596,1.292,0
597,0.833,0
598,0.167,0
599,0,0
600,1.792,0
601,0.292,0
602,1.667,0
603,2.083,0
604,1.708,0
605,0.75,0
606,1.333,0
607,0.917,0
608,0.708,0
609,0.5,0
610,0.958,0
611,0.417,0
612,0.5,0
613,2.125,0
614,0.167,0
615,2.792,0
616,0.667,0
617,0.125,0
618,0.083,0
619,0.292,0
620,0.125,0
621,0.333,0
622,0.417,0
623,0.75,0
624,0.125,0
625,0.458,0
626,1,0
627,0.395,0
628,0.708,0
629,0.896,0
630,0.792,0
631,0.417,0
632,0.333,0
633,0.708,0
634,0,0
635,1.333,0
636,0.542,0
637,0.25,0
638,0.5,0
639,0.917,0
640,1.292,0
641,1.75,0
642,0.5,0
643,0.625,0
644,0.083,0
645,0.333,0
646,2.75,0
647,2.5,0
648,1.542,0
649,0.083,0
650,0,0
651,0.542,0
652,1.292,0
653,0.458,0
654,3.875,0
655,3.25,0
656,0.208,0
657,3.375,0
658,2.833,0
659,1.875,0
660,1.417,0
661,1.583,0
662,0.833,0
663,0.542,0
664,1.5,0
665,3.042,0
666,0.042,0
667,2.708,0
668,0.292,0
669,2.375,0
670,2.083,0
671,0.542,0
672,0.458,0
673,0.333,0
674,0.5,0
675,0.542,0
676,1.083,0
677,0.583,0
678,0.125,0
679,0.2,0
680,0.292,0
681,0.583,0
682,0.25,0
683,0.563,0
684,0,0
685,1.167,0
686,1.375,0
687,58.205,1
688,68.1,0
689,0.5,0
690,0.25,0
691,1.75,0
692,2.083,0
693,2.167,0
694,2,0
695,2,0
696,2.083,0
697,0.875,0
698,1.042,0
699,0.583,0
700,0.333,0
701,0.333,0
702,0.417,0
703,0.125,0
704,1.042,0
705,0.375,0
706,0.083,0
707,0.375,0
708,0.792,0
709,1.667,0
710,0.583,0
711,0.5,0
712,0.5,0
713,1.875,0
714,0.958,0
715,1.292,0
716,1.083,0
717,0.5,0
718,0.417,0
719,2.625,0
720,3.917,0
721,4.708,0
722,4.833,0
723,1.5,0
724,0.708,0
725,0.708,0
726,0.042,0
727,0.208,0
728,0.458,0
729,4.042,0
730,8.667,0
731,6.292,0
732,9.833,0
733,8,0
734,6.833,0
735,5.417,0
736,6.458,0
737,4.292,0
738,3.292,0
739,68.9204,1
740,77.8138,0
741,10.708,0
742,5.458,0
743,1.667,0
744,2.5,0
745,2.333,0
746,5.458,0
747,9.292,0
748,8.75,0
749,10.875,0
750,9.958,0
751,10.792,0
752,9.583,0
753,0.708,0
754,2.042,0
755,73.57,1
756,63.195,0
757,1.292,0
758,1.792,0
759,3.125,0
760,1.125,0
761,13.375,0
762,41.16,1
763,41.32,0
764,0.417,0
765,45.579,1
766,44.487,0
767,37.434,0
768,34.612,0
769,0.125,0
770,0.375,0
771,0.917,0
772,0.375,0
773,1.125,0
774,0.208,0
775,1.125,0
776,0.208,0
777,0.083,0
778,2.583,0
779,1.125,0
780,0.083,0
781,6.792,0
782,3.875,0
783,0.5,0
784,1.292,0
785,0.292,0
786,0.167,0
787,0.125,0
788,0.417,0
789,0.042,0
790,0.917,0
791,1.25,0
792,1.333,0
793,1.708,0
794,0.667,0
795,1.542,0
796,4.187,0
797,2.458,0
798,2,0
799,1.167,0
800,4.917,0
801,2.5,0
802,1.208,0
803,0.958,0
804,0.458,0
805,0.5,0
806,1.833,0
807,0.875,0
808,2.333,0
809,3.208,0
810,1.875,0
811,2.75,0
812,2.167,0
813,2.292,0
814,2.208,0
815,2.542,0
816,2.458,0
817,0.708,0
818,1.542,0
819,3.5,0
820,3.292,0
821,0.25,0
822,1.75,0
823,0.583,0
824,2.25,0
825,4.583,0
826,4.25,0
827,1.125,0
828,1.542,0
829,1,0
830,2.875,0
831,0.667,0
832,1.542,0
833,0.583,0
834,2.792,0
835,0.458,0
836,4.708,0
837,6.333,0
838,3.5,0
839,11.083,0
840,4.458,0
841,2.708,0
842,3.25,0
843,2.042,0
844,1.5,0
845,1.6,0
846,1.792,0
847,6.208,0
848,1.375,0
849,2.208,0
850,0.5,0
851,6.792,0
852,0.625,0
853,1,0
854,0.875,0
855,0.083,0
856,0.542,0
857,3.625,0
858,3.25,0
859,1.583,0
860,41.87,1
861,33.9342,0
862,30.7522,0
863,1,0
864,3.458,0
865,2.333,0
866,2.167,0
867,1.875,0
868,0.625,0
869,1.417,0
870,7.083,0
871,10,0
872,14,0
873,3.75,0
874,1.167,0
875,46.7184,1
876,55.427,0
877,61.7862,0
878,70.023,0
879,76.023,0
880,57.6863,0
881,58.5661,0
882,61.0339,0
883,4.667,0
884,4.208,0
885,7.208,0
886,9.125,0
887,10.125,0
888,10.5,0
889,11.125,0
890,7.75,0
891,8,0
892,2.458,0
893,0.125,0
894,1.125,0
895,3.208,0
896,12.375,0
897,5.875,0
898,0.792,0
899,61.728,1
900,80.465,0
901,0.333,0
902,1.417,0
903,0.042,0
904,0.583,0
905,0.167,0
906,0.417,0
907,1.542,0
908,1.75,0
909,2.208,0
910,1.5,0
911,0.167,0
912,1.375,0
913,0.208,0
914,0.667,0
915,0.083,0
916,1.042,0
917,0.875,0
918,1,0
919,1.375,0
920,3,0
921,1.458,0
922,0.708,0
923,0.25,0
924,0.292,0
925,1.708,0
926,0.292,0
927,0.542,0
928,1,0
929,1.417,0
930,1,0
931,0.042,0
932,0.458,0
933,7.25,0
934,5.083,0
935,6.083,0
936,2.417,0
937,5.083,0
938,4.958,0
939,4.958,0
940,3.458,0
941,2.042,0
942,1.437,0
943,0.208,0
944,4.417,0
945,2.625,0
946,6.25,0
947,1.292,0
948,4.208,0
949,17.458,0
950,15.667,0
951,0.917,0
952,12.917,0
953,11.958,0
954,13.792,0
955,4.542,0
956,10.125,0
957,11.333,0
958,4.917,0
959,3.958,0
960,0.125,0
961,1.417,0
962,7.75,0
963,2.25,0
964,3.042,0
965,2.208,0
966,1.417,0
967,0.875,0
968,1.625,0
969,0.875,0
970,0.333,0
971,0.917,0
972,0.625,0
973,0.958,0
974,1.125,0
975,3.625,0
976,1.917,0
977,1.917,0
978,1.8,0
979,1.833,0
980,4.292,0
981,49.671,1
982,48.285,0
983,13.042,0
984,5.042,0
985,0.917,0
986,0.792,0
987,0.583,0
988,0.417,0
989,0.3,0
990,0.105,0
991,2.125,0
992,3.25,0
993,2.417,0
994,4.208,0
995,0.958,0
996,1,0
997,1.167,0
998,2.208,0
999,1.75,0
1000,1.708,0
1001,1.833,0
1002,1.333,0
1003,0.042,0
1004,0.27,0
1005,0.25,0
1006,0.25,0
1007,3.042,0
1008,4.708,0
1009,1.5,0
1010,2.458,0
1011,1.5,0
1012,3.375,0
1013,1.958,0
1014,4.25,0
1015,2.25,0
1016,2,0
1017,2.875,0
1018,1.625,0
1019,1,0
1020,0.333,0
1021,1.875,0
1022,4.458,0
1023,3.458,0
1024,11.25,0
1025,3.5,0
1026,0.875,0
1027,2.958,0
1028,2.5,0
1029,2.333,0
1030,3,0
1031,3.625,0
1032,4.417,0
1033,5.375,0
1034,4.75,0
1035,5.542,0
1036,7.875,0
1037,8.667,0
1038,8.042,0
1039,8.75,0
1040,3.083,0
1041,2.833,0
1042,3.708,0
1043,6.667,0
1044,5.708,0
1045,4.333,0
1046,18.542,0
1047,22,0
1048,28.333,0
1049,14.458,0
1050,6.292,0
1051,3.125,0
1052,2.417,0
1053,3.125,0
1054,2.333,0
1055,0.792,0
1056,1.667,0
1057,0.167,0
1058,2.875,0
1059,2.458,0
1060,4.167,0
1061,4,0
1062,3.083,0
1063,2.375,0
1064,1.833,0
1065,1.917,0
1066,0.708,0
1067,1.875,0
1068,3.167,0
1069,3,0
1070,2.5,0
1071,2.417,0
1072,2.75,0
1073,2.542,0
1074,3,0
1075,45.079,1
1076,72.421,0
1077,1.875,0
1078,0.292,0
1079,2,0
1080,2.25,0
1081,0.333,0
1082,0.958,0
1083,3.083,0
1084,1.625,0
1085,3.125,0
1086,0.292,0
1087,2.125,0
1088,3.833,0
1089,1.958,0
1090,4.417,0
1091,1.917,0
1092,0.958,0
1093,1.333,0
1094,0.625,0
1095,51.3206,1
1096,48.0364,0
1097,2.333,0
1098,2.75,0
1099,2.125,0
1100,1.875,0
1101,2.125,0
1102,2.125,0
1103,4.125,0
1104,3.042,0
1105,6.292,0
1106,8.5,0
1107,15.625,0
1108,72.545,1
1109,79.5,0
1110,78.6,0
1111,52.772,0
1112,51.6908,0
1113,50.22,0
1114,36.368,0
1115,61.773,0
1116,0.25,0
1117,7.25,0
1118,64.75,1
1119,80.195,0
1120,65.295,0
1121,52.635,0
1122,45.86,0
1123,1.392,0
1124,42.21,1
1125,54.595,0
1126,67.66,0
1127,52.945,0
1128,59.035,0
1129,54.75,0
1130,51.045,0
1131,3.875,0
1132,3.583,0
1133,2.375,0
1134,0.833,0
1135,1.167,0
1136,1.292,0
1137,3.375,0
1138,3.625,0
1139,2.833,0
1140,1.208,0
1141,3.417,0
1142,3.625,0
1143,4.958,0
1144,3.542,0
1145,4.292,0
1146,3.208,0
1147,2.792,0
1148,1.417,0
1149,0.833,0
1150,1.188,0
1151,1.5,0
1152,0.75,0
1153,0.25,0
1154,0.25,0
1155,0.833,0
1156,0.083,0
1157,1,0
1158,0.375,0
1159,0.458,0
1160,1.458,0
1161,3.167,0
1162,1.125,0
1163,1.167,0
1164,5.208,0
1165,2.458,0
1166,3.458,0
1167,2.333,0
1168,1.917,0
1169,2.125,0
1170,3.375,0
1171,3.167,0
1172,2.542,0
1173,1.292,0
1174,2.25,0
1175,1.292,0
1176,1.875,0
1177,0.333,0
1178,0.875,0
1179,1.375,0
1180,1,0
1181,2.042,0
1182,2.708,0
1183,2.167,0
1184,3.083,0
1185,4.792,0
1186,6.708,0
1187,8.292,0
1188,51.3228,1
1189,54.6386,0
1190,54.993,0
1191,52.775,0
1192,1.625,0
1193,1.583,0
1194,1.708,0
1195,2.292,0
1196,1,0
1197,0.375,0
1198,3.542,0
1199,0.042,0
1200,0.458,0
1201,1.105,0
1202,1.75,0
1203,1.083,0
1204,6.917,0
1205,5.042,0
1206,3.958,0
1207,0.167,0
1208,1.083,0
1209,1.833,0
1210,1.375,0
1211,2.875,0
1212,3.167,0
1213,45.2766,1
1214,41.978,0
1215,65.181,0
1216,72.852,0
1217,3.813,0
1218,5.292,0
1219,2.583,0
1220,0.25,0
1221,0.833,0
1222,1.917,0
1223,1.542,0
1224,0.458,0
1225,0.25,0
1226,2.854,0
1227,0.833,0
1228,6.417,0
1229,11.083,0
1230,10.333,0
1231,14.292,0
1232,16.625,0
1233,8.937,0
1234,1.958,0
1235,5.792,0
1236,5.292,0
1237,1.979,0
1238,1.333,0
1239,1.833,0
1240,3,0
1241,4.083,0
1242,7.042,0
1243,5.083,0
1244,2.708,0
1245,0.125,0
1246,0.042,0
1247,0.833,0
1248,2.542,0
1249,1,0
1250,2.833,0
1251,0.083,0
1252,1.542,0
1253,2.375,0
1254,2.667,0
1255,3.583,0
1256,3,0
1257,7.042,0
1258,2.917,0
1259,1.25,0
1260,1.5,0
1261,1.125,0
1262,2.333,0
1263,0.667,0
1264,0.292,0
1265,1.833,0
1266,0.833,0
1267,0.958,0
1268,0,0
1269,1.875,0
1270,0.25,0
1271,0.208,0
1272,0.333,0
1273,0.167,0
1274,1.542,0
1275,0.333,0
1276,0.083,0
1277,1.25,0
1278,0.583,0
1279,0.125,0
1280,2.333,0
1281,1.458,0
1282,1.417,0
1283,0.542,0
1284,3.5,0
1285,0.75,0
1286,1.625,0
1287,2,0
1288,1.875,0
1289,0.042,0
1290,0.5,0
1291,0.542,0
1292,1.083,0
1293,8.625,0
1294,1.833,0
1295,1.125,0
1296,0.25,0
1297,2.333,0
1298,2.833,0
1299,2.083,0
1300,0.083,0
1301,2.083,0
1302,1.25,0
1303,0.25,0
1304,1.958,0
1305,0.708,0
1306,1.083,0
1307,0.708,0
1308,0.75,0
1309,0.333,0
1310,1.375,0
1311,0.25,0
1312,2.708,0
1313,6.25,0
1314,1.25,0
1315,0.292,0
1316,46.8592,1
1317,41.5,0
1318,6.875,0
1319,4.917,0
1320,2.708,0
1321,2.792,0
1322,3.292,0
1323,4.375,0
1324,5.583,0
1325,3.167,0
1326,1.417,0
1327,0.208,0
1328,0.875,0
1329,0.292,0
