id,err,cp
396,26.448,0
397,16.095,0
398,14.709,0
399,14.226,0
400,13.743,0
401,63.435,1
402,139.6725,0
403,78.15,0
404,23.214,0
405,27.603,0
406,26.994,0
407,26.994,0
408,26.511,0
409,25.944,0
410,19.455,0
411,13.071,0
412,13.449,0
413,74.58,1
414,133.5675,0
415,133.7025,0
416,133.575,0
417,101.37,0
418,18.9225,0
419,18.951,0
420,18.573,0
421,25.671,0
422,25.818,0
423,25.797,0
424,26.574,0
425,26.511,0
426,26.826,0
427,26.511,0
428,13.365,0
429,13.386,0
430,13.239,0
431,13.512,0
432,12.504,0
433,0.936,0
434,4.107,0
435,3.687,0
436,3.561,0
437,3.456,0
438,3.498,0
439,0.45,0
440,9.732,0
441,10.005,0
442,9.627,0
443,9.27,0
444,8.997,0
445,7.884,0
446,8.031,0
447,9.207,0
448,8.682,0
449,0.726,0
450,3.33,0
451,3.456,0
452,3.855,0
453,3.54,0
454,1.86,0
455,1.143,0
456,11.664,0
457,13.26,0
458,12.588,0
459,9.837,0
460,8.85,0
461,8.598,0
462,7.863,0
463,8.346,0
464,8.577,0
465,8.619,0
466,8.535,0
467,9.165,0
468,9.249,0
469,12.483,0
470,12.861,0
471,12.525,0
472,11.937,0
473,11.454,0
474,10.992,0
475,8.535,0
476,7.674,0
477,7.212,0
478,7.128,0
479,7.359,0
480,7.128,0
481,7.128,0
482,7.947,0
483,8.178,0
484,8.094,0
485,8.934,0
486,6.456,0
487,4.254,0
488,4.338,0
489,2.172,0
490,13.008,0
491,13.743,0
492,13.659,0
493,14.205,0
494,14.142,0
495,13.785,0
496,10.593,0
497,83.73,1
498,127.5375,0
499,127.2975,0
500,66.525,0
501,7.317,0
502,10.887,0
503,10.446,0
504,10.236,0
505,16.095,0
506,22.815,0
507,20.967,0
508,10.278,0
509,39.945,1
510,127.6725,0
511,87.7725,0
512,9.984,0
513,11.895,0
514,10.572,0
515,10.089,0
516,11.496,0
517,11.349,0
518,11.244,0
519,11.433,0
520,70.845,1
521,129.6675,0
522,128.745,0
523,78.735,0
524,8.262,0
525,8.661,0
526,8.682,0
527,8.955,0
528,9.837,0
529,9.984,0
530,9.606,0
531,9.438,0
532,9.039,0
533,9.459,0
534,9.837,0
535,0.009,0
536,5.094,0
